x-axis,IN,OUT
second,Volt,Volt
-54.04000E+00,-392.58E-03,-1.57422E+00
-54.02000E+00,-402.34E-03,-1.50586E+00
-54.00000E+00,-412.11E-03,-1.43750E+00
-53.98000E+00,-421.88E-03,-1.36914E+00
-53.96000E+00,-421.88E-03,-1.30078E+00
-53.94000E+00,-431.64E-03,-1.23242E+00
-53.92000E+00,-441.41E-03,-1.16406E+00
-53.90000E+00,-441.41E-03,-1.10547E+00
-53.88000E+00,-451.17E-03,-1.02734E+00
-53.86000E+00,-460.94E-03,-968.75E-03
-53.84000E+00,-460.94E-03,-900.39E-03
-53.82000E+00,-470.70E-03,-832.03E-03
-53.80000E+00,-480.47E-03,-773.44E-03
-53.78000E+00,-490.23E-03,-705.08E-03
-53.76000E+00,-490.23E-03,-646.48E-03
-53.74000E+00,-500.00E-03,-578.12E-03
-53.72000E+00,-500.00E-03,-519.53E-03
-53.70000E+00,-509.77E-03,-460.94E-03
-53.68000E+00,-519.53E-03,-402.34E-03
-53.66000E+00,-529.30E-03,-343.75E-03
-53.64000E+00,-529.30E-03,-275.39E-03
-53.62000E+00,-539.06E-03,-207.03E-03
-53.60000E+00,-548.83E-03,-138.67E-03
-53.58000E+00,-548.83E-03,-80.08E-03
-53.56000E+00,-558.59E-03,-11.72E-03
-53.54000E+00,-568.36E-03,+56.64E-03
-53.52000E+00,-568.36E-03,+125.00E-03
-53.50000E+00,-578.13E-03,+193.36E-03
-53.48000E+00,-587.89E-03,+261.72E-03
-53.46000E+00,-587.89E-03,+320.31E-03
-53.44000E+00,-597.66E-03,+369.14E-03
-53.42000E+00,-597.66E-03,+427.73E-03
-53.40000E+00,-607.42E-03,+476.56E-03
-53.38000E+00,-607.42E-03,+544.92E-03
-53.36000E+00,-617.19E-03,+603.52E-03
-53.34000E+00,-626.95E-03,+652.34E-03
-53.32000E+00,-626.95E-03,+710.94E-03
-53.30000E+00,-636.72E-03,+769.53E-03
-53.28000E+00,-646.48E-03,+837.89E-03
-53.26000E+00,-656.25E-03,+896.48E-03
-53.24000E+00,-656.25E-03,+964.84E-03
-53.22000E+00,-666.02E-03,+1.03320E+00
-53.20000E+00,-666.02E-03,+1.09180E+00
-53.18000E+00,-675.78E-03,+1.16016E+00
-53.16000E+00,-685.55E-03,+1.22852E+00
-53.14000E+00,-685.55E-03,+1.29688E+00
-53.12000E+00,-695.31E-03,+1.36523E+00
-53.10000E+00,-705.08E-03,+1.42383E+00
-53.08000E+00,-705.08E-03,+1.49219E+00
-53.06000E+00,-714.84E-03,+1.56055E+00
-53.04000E+00,-714.84E-03,+1.62891E+00
-53.02000E+00,-724.61E-03,+1.69727E+00
-53.00000E+00,-734.38E-03,+1.75586E+00
-52.98000E+00,-734.38E-03,+1.83398E+00
